date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-11-12 11:55:00,2015-11-12 11:55:00,2015-11-12 11:54:00,1.0,0.721696
2015-11-13 11:00:00,2015-11-13 11:00:00,2015-11-13 11:00:01,1.0,0.733816
2015-11-14 11:45:00,2015-11-14 11:45:00,2015-11-14 11:44:00,1.0,0.540788
2015-11-16 11:30:00,2015-11-16 11:30:00,2015-11-16 11:30:01,1.0,0.953844
2015-11-18 11:20:00,2015-11-18 11:20:00,2015-11-18 11:20:01,0.0,0.579888
2015-11-19 12:05:00,2015-11-19 12:05:00,2015-11-19 12:05:01,1.0,0.768548
2015-11-20 11:10:00,2015-11-20 11:10:00,2015-11-20 11:10:01,1.0,0.517
2015-11-21 11:50:00,2015-11-21 11:50:00,2015-11-21 11:50:01,1.0,0.925304
2015-11-23 11:40:00,2015-11-23 11:40:00,2015-11-23 11:40:01,1.0,0.539768
2015-11-26 12:10:00,2015-11-26 12:10:00,2015-11-26 12:09:59,1.0,0.914476
2015-11-27 11:15:00,2015-11-27 11:15:00,2015-11-27 11:14:01,1.0,0.547228
2015-12-02 11:30:00,2015-12-02 11:30:00,2015-12-02 11:30:01,1.0,0.9485
2015-12-04 11:20:00,2015-12-04 11:20:00,2015-12-04 11:20:01,1.0,0.770896
2015-12-05 12:05:00,2015-12-05 12:05:00,2015-12-05 12:05:01,1.0,0.645304
2015-12-06 11:10:00,2015-12-06 11:10:00,2015-12-06 11:10:01,0.888888888889,0.427476
2015-12-07 11:50:00,2015-12-07 11:50:00,2015-12-07 11:50:01,1.0,0.831776
2015-12-09 11:40:00,2015-12-09 11:40:00,2015-12-09 11:40:01,1.0,0.771256
2015-12-11 11:25:00,2015-12-11 11:25:00,2015-12-11 11:24:01,1.0,0.931892
2015-12-12 12:10:00,2015-12-12 12:10:00,2015-12-12 12:10:00,1.0,0.770116
2015-12-13 11:15:00,2015-12-13 11:15:00,2015-12-13 11:14:01,1.0,0.805124
2015-12-14 11:55:00,2015-12-14 11:55:00,2015-12-14 11:54:02,1.0,0.224108
2015-12-15 11:00:00,2015-12-15 11:00:00,2015-12-15 11:00:01,1.0,0.830872
2015-12-16 11:45:00,2015-12-16 11:45:00,2015-12-16 11:44:01,1.0,0.200176
2015-12-18 11:30:00,2015-12-18 11:30:00,2015-12-18 11:30:00,1.0,0.858028
2015-12-20 11:20:00,2015-12-20 11:20:00,2015-12-20 11:20:00,0.333333333333,0.557848
2015-12-23 11:50:00,2015-12-23 11:50:00,2015-12-23 11:50:01,1.0,0.498156
2015-12-25 11:40:00,2015-12-25 11:40:00,2015-12-25 11:40:02,0.111111111111,0.534368
2015-04-10 14:05:00,2015-04-10 14:05:00,2015-04-10 14:04:02,1.0,0.88798
2015-04-11 14:50:00,2015-04-11 14:50:00,2015-04-11 14:50:01,1.0,0.367028
